"fdc_id","nutrient_id","amount"
"167698","1004","37.63"
"167698","1005","2.36"
"167698","1008","407"
"167699","1004","1.01"
"167699","1005","25.6"
"167699","1008","115"
"167699","1003","1.52"
"167700","1004","2.7"
"167700","1005","15.5"
"167700","1008","84"
"167700","1003","0.2"
"167701","1003","3.2"
"167701","1004","17.5"
"167701","1005","71.22"
"167701","1008","443"
"167702","1003","0.11"
"167702","1004","99.98"
"167702","1005","0"
"167702","1008","884"
"167703","1004","1"
"167703","1005","3.2"
"167703","1008","74"
"167703","1003","12.4"
"167704","1004","35"
"167704","1005","2"
"167704","1008","326"
"167704","1003","1.8"
"167705","1004","29.99"
"167705","1005","3.7"
"167705","1008","451"
"167705","1003","41.6"
"167706","1005","37.6"
"167706","1008","151"
"167706","1003","0"
"167706","1004","0.1"
"167707","1003","0.25"
"167707","1005","91"
"167707","1008","227"
"167707","1004","0.16"
"167708","1003","0.6"
"167708","1004","0.1"
"167708","1005","4.59"
"167708","1008","22"
"167709","1004","12.41"
"167709","1005","0"
"167709","1008","221"
"167709","1003","27.4"
"167710","1003","27.9"
"167710","1004","9.8"
"167710","1005","0"
"167710","1008","200"
"167711","1003","0.64"
"167711","1004","0.4"
"167711","1005","10.68"
"167711","1008","49"
"167712","1003","37.04"
"167712","1004","41.78"
"167712","1005","1.43"
"167712","1008","541"
"167713","1004","5"
"167713","1005","0"
"167713","1003","29.3"
"167713","1008","162"
"167714","1003","2.7"
"167714","1004","0.2"
"167714","1005","25.61"
"167714","1008","115"
"167715","1008","339"
"167715","1003","10.93"
"167715","1004","2.06"
"167715","1005","80.65"
"167716","1004","1"
"167716","1005","3"
"167716","1008","67"
"167716","1003","10.9"
"167717","1004","0.9"
"167717","1005","20.42"
"167717","1008","185"
"167717","1003","23.88"
"167718","1008","43"
"167718","1005","11.86"
"167718","1003","0"
"167718","1004","0"
"167719","1003","21.28"
"167719","1004","12.77"
"167719","1005","8.51"
"167719","1008","234"
"167720","1008","69"
"167720","1004","2.1"
"167720","1003","3.5"
"167720","1005","8.72"
"167721","1003","1.41"
"167721","1004","1.41"
"167721","1005","24.11"
"167721","1008","115"
"167722","1004","1.8"
"167722","1005","15.96"
"167722","1008","94"
"167722","1003","3.5"
"167723","1004","0"
"167723","1005","5"
"167723","1008","134"
"167723","1003","0.5"
"167724","1004","3.4"
"167724","1005","80"
"167724","1008","354"
"167724","1003","13"
"167725","1003","10"
"167725","1004","3"
"167725","1005","78"
"167725","1008","380"
"167726","1004","0.8"
"167726","1003","0.8"
"167726","1005","16.23"
"167726","1008","75"
"167727","1003","5.16"
"167727","1004","4.52"
"167727","1005","19.88"
"167727","1008","141"
"167728","1004","2.4"
"167728","1003","6.7"
"167728","1005","86.89"
"167728","1008","396"
"167729","1003","0.2"
"167729","1004","0.1"
"167729","1005","11.2"
"167729","1008","47"
"167730","1008","46"
"167730","1003","1.6"
"167730","1004","2"
"167730","1005","5.3"
"167731","1008","389"
"167731","1005","88.5"
"167731","1003","6.6"
"167731","1004","0.9"
"167732","1005","21.34"
"167732","1008","91"
"167732","1003","1"
"167732","1004","0.2"
"167733","1004","0.2"
"167733","1005","16.3"
"167733","1003","0.3"
"167733","1008","68"
"167734","1003","4.4"
"167734","1004","7.5"
"167734","1005","72.8"
"167734","1008","376"
"167735","1003","27.5"
"167735","1004","17.1"
"167735","1005","3.1"
"167735","1008","280"
"167736","1003","0"
"167736","1004","77.8"
"167736","1005","0.3"
"167736","1008","688"
"167737","1003","0"
"167737","1004","100"
